Starbucks Coffee,3.8,1304
Reviewer,Star rating,Review text
Sophie,5,"I was greeted by a lovely man who served me, he was extremely polite and friendly.
As I was waiting for my drink, the lady worker asked if I was waiting for a certain drink, I said yes, and she let me know it's coming now. As she noticed I had a crutch she asked me if I needed any help taking my drinks to a seat, and said she would help me, i let her know i have someone with me, and she was extremely wholesome. Wished me a lovely day and take care.  10/10 for service."
Dr Saadia Arshad,1,This has got to be the “sorry-est” cup of tea ever served. I asked for hot milk to ensure optimum temperature based on previous experience with Starbucks elsewhere. What I was served is lukewarm muddy water. Really annoying as I was truly looking forward to it.
Meltem Aykan,1,"I have never seen a person working with so much stress. I come here every morning, the other staff are sweet, but this woman in a blue shirt had a very bad attitude. She said that my coffee was not drunk like that because I wanted a straw. I like to drink it like that and it is very wrong to take your anger out on customers. It is so obvious that you do not like your job, your energy dragged us down.never coming here again"
Maxine Vogt,2,"I've been a loyal Starbucks customer at this location for years. While I appreciate the generally friendly staff, I've frequently experienced order errors. In particular, I've had negative interactions with a specific employee (a blond woman) who has been dismissive when mistakes are pointed out. I recommend double-checking your order, especially if she is preparing it. Otherwise, the rest of the team is great!"
M Hassan,4,Lovely and spacious place and I like 1 st floor area just outside Tottenham court station . The costumer service young girl so she seems not happy to work but it was that bad. I like it this is one if the best Starbucks in the city .
Melanie Hughes,1,"Have to agree with the other reviews...people sleeping on the sofas, disgusting toilets (one still out of order) and a general feel of uncleanness not to mention  unhygenic.
I love Starbucks, they are my favourite coffee chain,  but this sadly is one to avoid"
Cypher Muse,1,"I am extremely disappointed with my recent experience at this Starbucks location. The person serving us, Minche,
was shockingly rude and unprofessional. She displayed outright hostility, spoke to us with an aggressive attitude, and even swore at both me and my partner.

To make matters worse, she mocked our accent by making faces and gestures that were completely unacceptable. As someone who manages a restaurant myself, I know that this type of behavior reflects terribly on any business. I felt humiliated and disrespected in front of other customers.

This level of conduct is absolutely unacceptable in any service environment. I strongly believe Minche should be held accountable for her actions and should be terminated immediately. No customer deserves to be treated this way.

I will not be returning to this location and will be sharing this experience with others to prevent them from going through similar mistreatment."
Wardan Zazjan,5,"I love the way I've Beenhakker served by Gosia, profesional and kind person. Her smile and atitiude made my day. I will definitly come back to meet her again"
Ahmet Kurt,1,"I come here every morning for my morning coffee. This woman speaks very harshly, is very angry and does not know how to make coffee."
liang gao,1,Last weekend was the pride. So many people around and I was trying to order a birthday Frappuccino from the counter. However the woman at the counter told me that I have to download the app to order the birthday Frappuccino otherwise they cannot sell it to me. Have no idea why she said that since this is definitely not an order policy. Can’t imagine you have to download it to order it at full price to celebrate the somewhat Starbucks’ birthday. Not in any other Starbucks I have ordered requested me to download the app with a cold face. I was trying to download but because of the crowd the signal was weak so I cannot. Such a bad experience that day.
Natsinee Krainara,1,"We got a straw police in this branch. I asked for a straw to mix my drink. The lady in blue got upset and told me my drink doesn’t need a straw and to just stir it with a wooden stirrer. The lady gave me a straw anyway along with her attitudes. Lol so weird, can’t believe I ruined someone day caused I asked for a straw."
Hazel Jasper,1,"Came to the till, one member of staff just standing on their mobile ignoring customers.  The rest of the staff all laughing and joking and mucking around behind the bar. A different staff member then came over, said hello and then proceeded to look away and stare into the ether not listening to our order.
I then repeat the order and ask for Oat milk, as both me and my partner CANNOT have dairy. She puts the other through, and we take our drinks and leave. About 10 mins later we realise we have drank half and BOTH are Dairy… causing us both to be unwell.
The staff need to be spoken to, they were incredibly unprofessional and they are lucky it was not a Milk allergy because it could have killed someone…. Disappointed to say the least."
Sunny Simantov,2,"Only one toilet room available, so there was a considerable queue outside of it. Bins were full, so it was unpleasant to see the trash around it. Even the Chai Latte I had was not as good as I remember it from other Starbucks branches."
Hussain Al-Mulla,5,"I came to this Starbucks spot the beginning of last November 2024 on my London trip. At that time there was an issue I guess with the payment network for NFC/ApplePay payments and since I didnt have my wallet I couldnt purchase using ApplePay, So the two lovely ladies who served me (Aylin and Amanda) right away just said dont worry about it its on us today. With a big smiles and no further questions. They just said looks like Christmas came early.
As for my order the Americano was perfect Starbucks Americano and also had a cheese pastry that was really nice.
I Just wanted to give this shout out to Aylin and Amanda for their excellent service and customer experience , it just doesnt get much better, so Thank you"
Luigi Mario,5,"Thanks to Gosha  customer-centric approach, my interaction with Starbucks  was great.  Good experience , outstanding customer service."
Peaches Christ,5,"Was served by Bruce, really friendly and helpful. My fiance got me a mug as a gift and he offered to wrap it in smaller bags. 10/10 service."
Peter West,1,"MOBILE PHONE THIEVES OPERATE HERE. Staff are aware as it is a regular occurrence and will help you with reporting the theft to the police.
Beware of people creating a distraction to steal your valuables."
Jennifer,1,I was disappointed with this Starburst in Oxford Street. I wanted to order some new drinks. But there was no menu for the drinks. So I show the menu picture to the staff. They said “Oh we don’t have it. Check another Starbucks” and then they are chatting each other. I was super annoyed and disappointed The staff are unfriendly and they don’t have any service in mind.
Amy Donkor,5,Thank you for the nice service and kind message on the cup!
Alex Bransby,5,Nice Starbucks right opposite Tottenham Court Road tube station. Staff are friendly and food and drink is what you expect from Starbucks. Your items come pretty quick and the place is in good condition…
